Trajectories
100
,,maze:take_off,,,maze:enter_right,,,maze:enter_left,,,maze:enter_far-left,,,maze:enter_far-right,,,maze:y-join_left,,,maze:y-join_right,,,maze:exit_left,,,maze:exit_right,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
56,0,-1011.857727,1561.722900,-18.592558,-1435.371338,-131.975174,13.132172,-364.862549,-141.873993,7.591619,1791.559570,-171.710831,13.777669,-3908.824219,-89.873772,2.741130,-394.622284,-1921.225586,41.267345,-1417.866455,-1906.447266,43.400066,388.202026,-3223.003662,62.457581,-2219.868164,-3222.478516,56.722984
57,0,-1011.943481,1561.714233,-18.523174,-1435.501343,-132.026276,13.092778,-364.515533,-141.976456,7.562224,1791.377930,-171.743210,13.833217,-3909.409912,-89.592171,2.255435,-394.628174,-1921.228394,41.280773,-1417.851807,-1906.442871,43.394749,388.201477,-3222.999023,62.482071,-2219.803955,-3222.540527,56.709156
58,0,-1011.940247,1561.889160,-18.657753,-1435.407471,-131.979065,13.151814,-364.856781,-141.855453,7.596743,1791.375488,-171.724533,13.807169,-3909.493164,-89.547684,2.278079,-394.618317,-1921.199341,41.314800,-1417.855103,-1906.436157,43.384876,388.177826,-3222.995117,62.486362,-2219.887695,-3222.527832,56.686230
59,0,-1011.903870,1562.092285,-18.705091,-1435.447266,-132.021317,13.098899,-364.553436,-141.939011,7.577773,1791.383911,-171.701721,13.801952,-3909.369873,-89.521118,2.250634,-394.585632,-1921.182251,41.330841,-1417.838501,-1906.454468,43.387234,388.207642,-3223.057861,62.457363,-2219.874512,-3222.430420,56.719303
60,0,-1011.936401,1562.066284,-18.769968,-1435.445801,-132.019989,13.099649,-364.553833,-141.985901,7.563646,1791.450684,-171.698486,13.778026,-3909.530762,-89.528275,2.224541,-394.563263,-1921.178101,41.359764,-1417.856812,-1906.446167,43.397961,388.194611,-3223.020020,62.474945,-2219.819580,-3222.584229,56.691929
61,0,-1011.937256,1562.065674,-18.765833,-1435.464966,-131.983551,13.094564,-364.488770,-141.974564,7.515460,1791.604858,-171.703796,13.743662,-3908.745117,-89.823616,2.791138,-394.594330,-1921.196899,41.336281,-1417.855469,-1906.439331,43.385132,388.201508,-3223.027100,62.453098,-2219.812256,-3222.479980,56.736923
62,0,-1011.935730,1562.066895,-18.740007,-1435.438843,-131.991913,13.080939,-364.778656,-141.905884,7.495665,1791.505127,-171.691437,13.755547,-3908.670410,-89.815361,2.783097,-394.579681,-1921.198975,41.310535,-1417.852783,-1906.445923,43.392014,388.214417,-3223.062012,62.438526,-2219.855713,-3222.503906,56.711121
63,0,-1011.891235,1561.697388,-18.632133,-1435.439331,-131.996643,13.091862,-364.791748,-141.897552,7.546124,1791.321655,-171.724625,13.817677,-3909.589600,-89.501816,2.173639,-394.597321,-1921.227417,41.313702,-1417.853882,-1906.435303,43.415863,388.208496,-3223.021973,62.456360,-2219.870117,-3222.718994,56.678127
64,0,-1011.862610,1561.556396,-18.493124,-1435.371948,-131.980621,13.126350,-364.710754,-141.930191,7.500226,1791.351807,-171.717682,13.865491,-3909.402344,-89.530396,2.233273,-394.603912,-1921.219849,41.327171,-1417.867188,-1906.435791,43.399178,388.200073,-3223.033691,62.458115,-2219.848633,-3222.748047,56.684464
65,0,-1011.858337,1561.724121,-18.650053,-1435.384521,-131.953156,13.117385,-364.844208,-141.876343,7.591684,1791.289185,-171.725479,13.879017,-3909.506348,-89.528419,2.183400,-394.599609,-1921.193970,41.320019,-1417.861084,-1906.443237,43.423180,388.198181,-3223.040527,62.480377,-2219.893066,-3222.726562,56.645061
